doc ID,topic pairs
10.1107/S1600536809000063,"[(71, 0.9478883016495783)]"
10.1107/S1600536808043286,"[(135, 0.9446790129696999)]"
10.1107/S090744499801021X,"[(68, 0.9632158357468407)]"
10.1107/S0907444998004934,"[(101, 0.9475186089089881)]"
10.1107/S1600536809001093,"[(69, 0.9381879369482407)]"
10.1107/S1600536809000579,"[(3, 0.611443793108483), (18, 0.331443441473064)]"
10.1107/S1600536809001251,"[(0, 0.9425730712900443)]"
10.1107/S0021889897008972,"[(30, 0.5915128834817659), (86, 0.3635656509785302)]"
10.1107/S0108767396000918,"[(76, 0.9291289987439644)]"
10.1107/S0907444998008725,"[(13, 0.4284435939486019), (9, 0.2864199870629329), (38, 0.1757269934057732), (43, 0.08317661220652295)]"
10.1107/S1600536808043705,"[(0, 0.9112492919960103)]"
10.1107/S1600536811035495,"[(116, 0.6565172752524069), (0, 0.3046840968003277)]"
10.1107/S1600536811037093,"[(60, 0.9631811534794879)]"
10.1107/S1600536814005418,"[(7, 0.9607025380649383)]"
10.1107/S1600536814005352,"[(29, 0.9620319960874795)]"
10.1107/S1600536811035744,"[(54, 0.9506330532960519)]"
10.1107/S1600536811035641,"[(22, 0.4872983647594025), (0, 0.4644618314476383)]"
10.1107/S1600536811034933,"[(50, 0.9480256279507079)]"
10.1107/S1600536814005868,"[(118, 0.928774421738757)]"
10.1107/S1600536811038955,"[(23, 0.9506981472143572)]"
10.1107/S1600536814006266,"[(7, 0.5720373569890893), (16, 0.36329439117603207)]"
10.1107/S1600536811036774,"[(69, 0.957000303966619)]"
10.1107/S1600536801009679,"[(94, 0.8581490913052126)]"
10.1107/S0021889892004795,"[(108, 0.909592765665344)]"
10.1107/S1600536801007838,"[(33, 0.8753530126347258)]"
10.1107/S1600536801009278,"[(28, 0.3645429513309415), (16, 0.2759143983692618), (97, 0.2203922747684533)]"
10.1107/S1600536801008170,"[(15, 0.9100384903462345)]"
10.1107/S1600536801008984,"[(1, 0.7678886644401225), (3, 0.13618885349976323)]"
10.1107/S160053681400453X,"[(110, 0.9698507984323179)]"
10.1107/S1600536801009758,"[(36, 0.4470876247323498), (1, 0.2782557245775701), (75, 0.22924430607548074)]"
10.1107/S1600536811036191,"[(1, 0.9025408324688512)]"
10.1107/S1600536814005649,"[(56, 0.9632906857639447)]"
10.1107/S160053681103532X,"[(17, 0.4833080104282418), (4, 0.44781809211548423)]"
10.1107/S1600536811037925,"[(75, 0.9480644827358768)]"
10.1107/S1600536811035343,"[(66, 0.9338957314556066)]"
10.1107/S1600536811035033,"[(112, 0.7925150918534449), (1, 0.146898325779452)]"
10.1107/S1600536814004887,"[(116, 0.933752563109508)]"
10.1107/S1600536814004942,"[(1, 0.41956042736462346), (24, 0.20481065066696402), (54, 0.18637719363542163), (115, 0.14972416565602223)]"
10.1107/S0021889898004014,"[(149, 0.9000757235355085)]"
10.1107/S1600536803007633,"[(1, 0.9557003787636308)]"
10.1107/S0021889897015057,"[(147, 0.6156553514453276), (52, 0.21874881780646044)]"
10.1107/S1600536802013612,"[(7, 0.901756345162346)]"
10.1107/S0021889812031159,"[(94, 0.9716298246527221)]"
10.1107/S0907444999005338,"[(112, 0.5318374115383332), (63, 0.4062076385146418)]"
10.1107/S0108270104008479,"[(29, 0.9102574452976792)]"
10.1107/S0907444999007064,"[(34, 0.9632772745881967)]"
10.1107/S0021889884011298,"[(16, 0.7186762141648595), (17, 0.13502495458498717), (74, 0.10425415563046105)]"
10.1107/S1600536802012850,"[(112, 0.710443690414281), (25, 0.2428095839919137)]"
10.1107/S2053230X15007359,"[(98, 0.9707997289598406)]"
10.1107/S1600536802011832,"[(127, 0.48931584016630997), (0, 0.4135059771610969)]"
10.1107/S160053680300792X,"[(32, 0.9337973782252483)]"
10.1107/S0909049597018785,"[(27, 0.9805253049900674)]"
10.1107/S0909049598000454,"[(41, 0.9338652134861952)]"
10.1107/S0909049597019080,"[(55, 0.7122710880079052), (114, 0.2328166281427408)]"
10.1107/S0108270107008712,"[(41, 0.9731885386936512)]"
10.1107/S0909049597018566,"[(121, 0.9616965318639658)]"
10.1107/S0909049597013150,"[(52, 0.9526238328610407)]"
10.1107/S0909049597018530,"[(1, 0.9025408321686631)]"
10.1107/S0909049597018529,"[(47, 0.9098435732324636)]"
10.1107/S0021889881009825,"[(82, 0.4670773365943362), (89, 0.4095483581109424)]"
10.1107/S0021889801002898,"[(105, 0.9757252236091439)]"
10.1107/S0909049597035607,"[(114, 0.6266329966359397), (143, 0.3022808910776483)]"
10.1107/S0021889801003715,"[(25, 0.9775707366637193)]"
10.1107/S0021889801003624,"[(134, 0.44149676732320253), (67, 0.3095270277528589), (4, 0.22866405881872356)]"
10.1107/S0021889801004009,"[(86, 0.9788205062840802)]"
10.1107/S1600536809003201,"[(0, 0.6009738218010424), (5, 0.334948969850292)]"
10.1107/S1600536809003079,"[(0, 0.8372902413502062)]"
10.1107/S1600536809003419,"[(4, 0.9423025971642529)]"
10.1107/S0909049597015525,"[(7, 0.9244278691177353)]"
10.1107/S0108270101010034,"[(80, 0.9414298378578653)]"
10.1107/S1600536811054663,"[(9, 0.4033872929027182), (80, 0.39006347032384264), (18, 0.14171526389925834)]"
10.1107/S1600536811055887,"[(130, 0.5083856248221588), (4, 0.4026168244283453)]"
10.1107/S1600536812000992,"[(59, 0.9567965316335708)]"
10.1107/S1600536812000888,"[(0, 0.8779677764945149)]"
10.1107/S1600536812001626,"[(47, 0.7032844837810804), (0, 0.25948545531624734)]"
10.1107/S1600536812001560,"[(81, 0.9707896604440551)]"
10.1107/S0108767398009118,"[(20, 0.9752396141238165)]"
10.1107/S1600536811056091,"[(3, 0.6940379428053491), (4, 0.25768760613083064)]"
10.1107/S1600536812000426,"[(12, 0.8905725293891873)]"
10.1107/S1600536812002061,"[(95, 0.798197055972935), (1, 0.16454677383529345)]"
10.1107/S0108767304025991,"[(102, 0.9415155130767787)]"
10.1107/S160053681200311X,"[(29, 0.9588679957614361)]"
10.1107/S2053229616006677,"[(0, 0.3940251812690822), (6, 0.37915285031101426), (63, 0.21053538425171814)]"
10.1107/S1600536811052809,"[(9, 0.9417333542362492)]"
10.1107/S1600536802000211,"[(89, 0.9336805772204816)]"
10.1107/S1600536802002933,"[(95, 0.854198477117188), (0, 0.08872349077517501)]"
10.1107/S1600536802000971,"[(67, 0.47289924353953633), (113, 0.23564630270156534), (78, 0.21577425012022375)]"
10.1107/S1600536802002982,"[(22, 0.9101328952246692)]"
10.1107/S1600536811056194,"[(0, 0.6565637938402825), (17, 0.2869870000204795)]"
10.1107/S0108270105024959,"[(9, 0.9380916888760146)]"
10.1107/S1600536803013333,"[(3, 0.6583114727903349), (18, 0.2723373120586869)]"
10.1107/S160053680301393X,"[(4, 0.9607657660716921)]"
10.1107/S0021889802007835,"[(57, 0.9744831237656814)]"
10.1107/S1600536801012880,"[(78, 0.8898765740803134)]"
10.1107/S1600536801013125,"[(139, 0.9413330487283387)]"
10.1107/S1600536801013472,"[(105, 0.8894149075527673)]"
10.1107/S0907444902016864,"[(14, 0.9633763911315094)]"
10.1107/S002188988801060X,"[(116, 0.9679449061084598)]"
10.1107/S0108270104007693,"[(4, 0.7547860379480766)]"
10.1107/S0108270104007668,"[(94, 0.9716298246527223)]"
10.1107/S0021889888010817,"[(10, 0.9789263804664756)]"
10.1107/S0108767300008734,"[(98, 0.9602876313853826)]"
10.1107/S1600536803011188,"[(75, 0.9570967549849718)]"
10.1107/S0021889895011757,"[(5, 0.9621192178005344)]"
10.1107/S1600536803012169,"[(107, 0.8757475744556197)]"
10.1107/S0108270108039772,"[(63, 0.5893068942499678), (54, 0.36150188162214053)]"
10.1107/S1744309111029228,"[(43, 0.9792858359746358)]"
10.1107/S0021889873008976,"[(81, 0.4071048239046061), (102, 0.3578809165177804), (1, 0.18438376255849948)]"
10.1107/S0108768197008549,"[(141, 0.9783265877120447)]"
10.1107/S1744309113024184,"[(123, 0.9678922865217399)]"
10.1107/S0108270107027862,"[(22, 0.968111672499076)]"
10.1107/S2053229615014862,"[(0, 0.9800763716725741)]"
10.1107/S1600536802017816,"[(1, 0.9512703748072149)]"
10.1107/S1600536813034089,"[(36, 0.9448726147577315)]"
10.1107/S0108270108006975,"[(20, 0.9669858528972376)]"
10.1107/S1600536802019001,"[(64, 0.8497711222447034), (104, 0.07451468641946034)]"
10.1107/S1600536807000050,"[(87, 0.9289641515847198)]"
10.1107/S1600536806050306,"[(71, 0.9174898109451676)]"
10.1107/S1600536807004758,"[(0, 0.9302673008540081)]"
10.1107/S1600536813032492,"[(84, 0.6131476063800352), (17, 0.31161234101808033)]"
10.1107/S1600536807004126,"[(11, 0.5618994465312651), (1, 0.369616068745835)]"
10.1107/S1600536813033060,"[(7, 0.5345151146633534), (3, 0.4010135718848093)]"
10.1107/S1600536813033291,"[(18, 0.9241320107258151)]"
10.1107/S1600536813033771,"[(75, 0.9588843901939313)]"
10.1107/S1600536813033734,"[(36, 0.9477740559872889)]"
10.1107/S1744309113023439,"[(82, 0.9716513399810007)]"
10.1107/S0907444996012991,"[(34, 0.9797650288547214)]"
10.1107/S1600536812003406,"[(1, 0.48960781244745033), (30, 0.46833011344707665)]"
10.1107/S0108767394003648,"[(105, 0.9768542829761608)]"
10.1107/S0108767394005040,"[(52, 0.9723639025022746)]"
10.1107/S1399004714017623,"[(55, 0.9789022043195305)]"
10.1107/S0108767300013714,"[(23, 0.9765229266455762)]"
10.1107/S010827019809982X,"[(56, 0.9380530924191812)]"
10.1107/S174430910500223X,"[(24, 0.6186965851321438), (3, 0.35632730346607255)]"
10.1107/S010827019701305X,"[(39, 0.944923443922628)]"
10.1107/S0108270197013061,"[(38, 0.9477003546477021)]"
10.1107/S1600536812001067,"[(75, 0.9102932149685686)]"
10.1107/S0108270197013620,"[(98, 0.9448439324796981)]"
10.1107/S0108270197013358,"[(58, 0.900506342145528)]"
10.1107/S0108270197014911,"[(68, 0.9379267228228164)]"
10.1107/S160053681200205X,"[(54, 0.9529838342181857)]"
10.1107/S1600536812002255,"[(39, 0.7663594463152055), (0, 0.18271262417994139)]"
10.1107/S1600536812002383,"[(18, 0.9383572588304577)]"
10.1107/S0021889890006616,"[(96, 0.9170228905288567)]"
10.1107/S1600536802005366,"[(59, 0.9378950142232576)]"
10.1107/S1600536802005342,"[(138, 0.8336879433249734)]"
10.1107/S1600536802006220,"[(81, 0.9172373751276426)]"
10.1107/S1744309109044789,"[(148, 0.9524114704902354)]"
10.1107/S1600536802005421,"[(31, 0.9644465433152112)]"
10.1107/S1600536802005810,"[(57, 0.9170701521474861)]"
10.1107/S0108270109029084,"[(85, 0.9567342747248504)]"
10.1107/S1600536802007080,"[(119, 0.8891986320374509)]"
10.1107/S1744309113004399,"[(5, 0.945283314600772)]"
10.1107/S0108270109030339,"[(127, 0.6634130361832652), (0, 0.28259908455418326)]"
10.1107/S0021889894013087,"[(15, 0.9775096066767724)]"
10.1107/S1600576715006214,"[(78, 0.9793518576608101)]"
10.1107/S0108270103010084,"[(104, 0.5245715116167246), (22, 0.4237981319746235)]"
10.1107/S0567739474000969,"[(112, 0.657389849666931), (0, 0.18076824375955852)]"
10.1107/S1600536807005065,"[(4, 0.7321375544918851), (1, 0.17231769396733346)]"
10.1107/S1600577514025260,"[(91, 0.9679098299576275)]"
10.1107/S0021889894004218,"[(39, 0.9763958949839721)]"
10.1107/S0021889894006357,"[(50, 0.962018728117713)]"
10.1107/S1600536807006770,"[(8, 0.9179411346610764)]"
10.1107/S160053680700685X,"[(0, 0.8915267335121134)]"
10.1107/S1600536807006630,"[(16, 0.9551095722954989)]"
10.1107/S0907444911006445,"[(34, 0.9758167417809767)]"
10.1107/S0021889894004267,"[(106, 0.9477481298431898)]"
10.1107/S0907444911008754,"[(102, 0.9657159904243187)]"
10.1107/S1600536807007921,"[(8, 0.9104824785340236)]"
10.1107/S0909049513003142,"[(49, 0.9723743824064114)]"
10.1107/S0909049513009175,"[(33, 0.9706712970905245)]"
10.1107/S1600536807008045,"[(54, 0.8765826326072906)]"
10.1107/S1600536807008094,"[(69, 0.9175839159360111)]"
10.1107/S1600536807009051,"[(71, 0.7057340058835551), (1, 0.24603029732354004)]"
10.1107/S0907444902010934,"[(49, 0.4032231709686635), (25, 0.2707996044711395), (133, 0.1612344657154778), (130, 0.12854367630121533)]"
10.1107/S1600536807008793,"[(22, 0.890162427496818)]"
10.1107/S0567739474000842,"[(107, 0.9337320397096639)]"
10.1107/S1600577516004483,"[(11, 0.9701760251040207)]"
10.1107/S1600577516006159,"[(113, 0.5013879251667163), (1, 0.012704166399941819), (0, 0.011871105978059437)]"
10.1107/S0108270197000243,"[(52, 0.9170917075068209)]"
10.1107/S0567739475001878,"[(4, 0.8365240252987176)]"
10.1107/S056773947500188X,"[(11, 0.8769759471791353)]"
10.1107/S1600536813023684,"[(75, 0.9295160974753104)]"
10.1107/S1600536813025415,"[(0, 0.5691563359120719), (17, 0.3668678971396599)]"
10.1107/S0108270197000784,"[(19, 0.9382018887992545)]"
10.1107/S0108270197000541,"[(27, 0.8896433949437113)]"
10.1107/S0108270105003732,"[(25, 0.9551414733274367)]"
10.1107/S0021889886088982,"[(8, 0.9776206196335067)]"
10.1107/S0021889875011041,"[(24, 0.8900627565256629)]"
10.1107/S1744309112031259,"[(57, 0.9763057577313002)]"
10.1107/S010827010603335X,"[(50, 0.9506243465531725)]"
10.1107/S1744309112030023,"[(6, 0.9550834032090808)]"
10.1107/S2414314616001255,"[(29, 0.9506415934913578)]"
10.1107/S0021889800012267,"[(64, 0.9603261652683943)]"
10.1107/S1744309106027825,"[(115, 0.9656104927000138)]"
10.1107/S0021889891014826,"[(28, 0.9745711833695506)]"
10.1107/S0021889880011727,"[(35, 0.9585968050906416)]"
10.1107/S1744309106031125,"[(13, 0.9379932511225076)]"
10.1107/S2053229615013224,"[(19, 0.9670410073596023)]"
10.1107/S2056989015014516,"[(76, 0.9618385878360859)]"
10.1107/S2056989015014917,"[(50, 0.9717853408875283)]"
10.1107/S010876739700737X,"[(128, 0.9376378130819031)]"
10.1107/S2056989015015601,"[(77, 0.9792664618918607)]"
10.1107/S2053229615013303,"[(112, 0.9668402116442157)]"
10.1107/S0907444999008410,"[(9, 0.7432614607819228), (121, 0.23431983127442654)]"
10.1107/S0907444999007416,"[(45, 0.9631639694235415)]"
10.1107/S2056989015014851,"[(45, 0.9738270307300084)]"
10.1107/S2059798315021580,"[(65, 0.9778476131041893)]"
10.1107/S2059798315019403,"[(35, 0.9668774440725133)]"
10.1107/S2052252515002146,"[(113, 0.9715078814380983)]"
10.1107/S2052252515005163,"[(118, 0.9768102789784654)]"
10.1107/S2053230X1501818X,"[(17, 0.9799310466085691)]"
10.1107/S2053273314097307,"[(60, 0.9869196203150795)]"
10.1107/S2053273314097393,"[(140, 0.9844201660344586)]"
10.1107/S205327331409785X,"[(88, 0.9763087486946473)]"
10.1107/S2053273314099446,"[(43, 0.9801144025356501)]"
10.1107/S2053273314098167,"[(124, 0.6375089407747189), (16, 0.3317384092270184)]"
10.1107/S1744309112042972,"[(119, 0.9667595986604804)]"
10.1107/S1744309112042236,"[(8, 0.9635298986620093)]"
10.1107/S1600576714006724,"[(49, 0.9804995729742012)]"
10.1107/S0108767389000401,"[(143, 0.9565921365346306)]"
10.1107/S0021889878013229,"[(74, 0.923379877390297)]"
10.1107/S1600576714008188,"[(17, 0.9760151532638996)]"
10.1107/S1600576714005895,"[(26, 0.9801050103648298)]"
10.1107/S0108767388004714,"[(54, 0.9451478369956132)]"
10.1107/S090744490801278X,"[(46, 0.9797685858302974)]"
10.1107/S2053273314093310,"[(107, 0.985799722756932)]"
10.1107/S2053273314093280,"[(59, 0.9808907736071568)]"
10.1107/S2053273314094285,"[(89, 0.9783741012675486)]"
10.1107/S2053273314094170,"[(132, 0.9688325718179311)]"
10.1107/S2053273314093528,"[(57, 0.9853653209834378)]"
10.1107/S2053273314095126,"[(47, 0.9872856321225623)]"
10.1107/S2053273314093966,"[(32, 0.9853964804921413)]"
10.1107/S2053273314093450,"[(41, 0.9819632399208729)]"
10.1107/S2053273314093917,"[(73, 0.9851384927258683)]"
10.1107/S2053273314093383,"[(4, 0.9839203959310219)]"
10.1107/S2053273314093826,"[(60, 0.980117822878924)]"
10.1107/S205327331409593X,"[(91, 0.9788341431635418)]"
10.1107/S2053273314095394,"[(25, 0.9859016059029095)]"
10.1107/S2053273314096867,"[(103, 0.9783267321912102)]"
10.1107/S2053273314095242,"[(37, 0.8457231287811279), (25, 0.1320027511136305)]"
10.1107/S205327331409682X,"[(8, 0.9843699565694332)]"
10.1107/S2053273314088676,"[(144, 0.9787504363185402)]"
10.1107/S2053273314088597,"[(5, 0.9814169747700742)]"
10.1107/S2053273314088986,"[(107, 0.9797138897070401)]"
10.1107/S2053273314090007,"[(20, 0.9834930760824778)]"
10.1107/S2053273314090524,"[(40, 0.9763555857617318)]"
10.1107/S2053273314092067,"[(17, 0.9726839245505524)]"
10.1107/S2053273314090883,"[(44, 0.9812857959119277)]"
10.1107/S2053273314092602,"[(21, 0.98260593625429)]"
10.1107/S2053273314091426,"[(72, 0.9792930768217398)]"
10.1107/S2053273314090834,"[(48, 0.9698444509984411)]"
10.1107/S2053273314091918,"[(6, 0.9840618527516098)]"
10.1107/S2053273314091311,"[(51, 0.9752437725315429)]"
10.1107/S2053273314092456,"[(74, 0.9744599561263423)]"
10.1107/S2053273314091827,"[(105, 0.3480089895411944), (14, 0.34141317498740364), (2, 0.29316208383283177)]"
10.1107/S2053273314092377,"[(139, 0.9706665221069403)]"
10.1107/S2053273314084204,"[(62, 0.9547386479870618)]"
10.1107/S2053273314085180,"[(96, 0.6007926819373813), (12, 0.3614929892491174)]"
10.1107/S2053273314085738,"[(5, 0.4454930150422322), (15, 0.32506761442805426), (115, 0.1980918655272258)]"
10.1107/S2053273314084496,"[(47, 0.968009009856768)]"
10.1107/S205327331408749X,"[(23, 0.9843486181632887)]"
10.1107/S2053273314086689,"[(86, 0.9778791954522732)]"
10.1107/S205327331408718X,"[(34, 0.9834747725395241)]"
10.1107/S2053273314087105,"[(13, 0.9708203534699017)]"
10.1107/S056773947600003X,"[(45, 0.9526393892588391)]"
10.1107/S0907444904014040,"[(127, 0.9751118990329488)]"
10.1107/S0108270195011061,"[(6, 0.9550834032090808)]"
10.1107/S0567739476000144,"[(15, 0.9505211696904289)]"
10.1107/S0907444997006550,"[(51, 0.9587396198248067)]"
10.1107/S0907444997010615,"[(24, 0.9604225923492566)]"
10.1107/S0567739476000338,"[(21, 0.6412524500492994), (35, 0.30079823751951834)]"
10.1107/S0567739476000351,"[(100, 0.8339150470657125)]"
10.1107/S010827019500309X,"[(1, 0.6520040377987414), (52, 0.22680956506147648)]"
10.1107/S0108767305031569,"[(42, 0.9416575507606035)]"
10.1107/S0108270113004551,"[(56, 0.9680274025603274)]"
10.1107/S0021889808014994,"[(19, 0.9633788970662248)]"
10.1107/S2053273314083594,"[(54, 0.9700806383612444)]"
10.1107/S2053273314082394,"[(2, 0.5661269125513442), (85, 0.4145340610371169)]"
10.1107/S205327331408173X,"[(39, 0.4097651168930268), (42, 0.31032160138855835), (90, 0.25113171729665795)]"
10.1107/S2053273314081716,"[(15, 0.981674507292752)]"
10.1107/S2053273314081698,"[(88, 0.9631469424138953)]"
10.1107/S205327331408228X,"[(62, 0.9715500069069435)]"
10.1107/S2053273314083417,"[(75, 0.9775733037421444)]"
10.1107/S2053273314083867,"[(93, 0.9857818426772573)]"
10.1107/S2053273314082667,"[(62, 0.9875531283397698)]"
10.1107/S2053273314082606,"[(97, 0.527696640170616), (4, 0.45836625412662885)]"
10.1107/S2053273314083764,"[(19, 0.9739797426523186)]"
10.1107/S2053273314082576,"[(28, 0.9819686572984087)]"
10.1107/S2053273314081935,"[(21, 0.9716725247569866)]"
10.1107/S1600536807061454,"[(97, 0.9095689499104362)]"
10.1107/S0108767307023896,"[(47, 0.5340447082603049), (25, 0.41158816500433004)]"
10.1107/S1744309106009651,"[(141, 0.9715149438501145)]"
10.1107/S1600536808000810,"[(18, 0.6252056003663096), (1, 0.3147396792641407)]"
10.1107/S1600536807068432,"[(55, 0.9008402288633666)]"
10.1107/S1744309106007305,"[(123, 0.49287493476139926), (64, 0.38468537753848325), (97, 0.08858016215883277)]"
10.1107/S0021889805029985,"[(113, 0.9616452250128239)]"
10.1107/S1600536808002900,"[(107, 0.7097012642486111), (0, 0.2461952270059833)]"
10.1107/S1600536807067463,"[(10, 0.9478705201013201)]"
10.1107/S1600536807067712,"[(0, 0.6575127153731937), (23, 0.262296047647079)]"
10.1107/S0907444997010524,"[(61, 0.9645353333557372)]"
10.1107/S0108768195016259,"[(147, 0.9791942604505971)]"
10.1107/S1600536807067499,"[(11, 0.9621464954261351)]"
10.1107/S1600536807066615,"[(135, 0.7068472269910479), (14, 0.23161433787666327)]"
10.1107/S1600536807067153,"[(28, 0.9680087493997286)]"
10.1107/S0108767385000861,"[(100, 0.9808363515845937)]"
10.1107/S2053230X16000923,"[(32, 0.971627447813303)]"
10.1107/S205698901600712X,"[(17, 0.963578566067253)]"
10.1107/S0108767385000952,"[(106, 0.9290867476443291)]"
10.1107/S1600536808000020,"[(121, 0.958504576163922)]"
10.1107/S0907444999016571,"[(55, 0.9237233540782995)]"
10.1107/S1600536807068663,"[(3, 0.9179472372165812)]"
10.1107/S1600536807068493,"[(14, 0.9505581280232033)]"
10.1107/S1744309110001375,"[(68, 0.9745340401320124)]"
10.1107/S0021889899015587,"[(57, 0.889426869652636)]"
10.1107/S2414314616006738,"[(1, 0.9426710783999928)]"
10.1107/S1744309108028571,"[(47, 0.9603311722223918)]"
10.1107/S2414314616006891,"[(108, 0.6076773136015339), (0, 0.3437858181122114)]"
10.1107/S2414314616007082,"[(66, 0.9380272482376869)]"
10.1107/S0108768102000927,"[(55, 0.8583433536892194)]"
10.1107/S1600536802009066,"[(59, 0.9602528091028851)]"
10.1107/S0108270107012541,"[(103, 0.9584595700331525)]"
10.1107/S0108270107016800,"[(133, 0.9584229726256392)]"
10.1107/S0021889807001136,"[(131, 0.8336329184091196)]"
10.1107/S160053680200853X,"[(105, 0.9004734167974906)]"
10.1107/S0021889899014922,"[(14, 0.9381976600344226)]"
10.1107/S1600536803020063,"[(3, 0.9384604279124359)]"
10.1107/S002188988301033X,"[(117, 0.5934554149831214), (62, 0.3357269420305219)]"
10.1107/S0909049505013580,"[(41, 0.9603191280917172)]"
10.1107/S1600536809052192,"[(16, 0.9176999397963458)]"
10.1107/S1600536809052118,"[(0, 0.3980912536849447), (54, 0.31193111424407255), (1, 0.2576263056683283)]"
10.1107/S1600536809053203,"[(71, 0.9478874589336524)]"
10.1107/S160053680905377X,"[(42, 0.7176824072746393), (0, 0.2450837686825291)]"
10.1107/S1600536809039415,"[(12, 0.934342863931718)]"
10.1107/S1600536803019433,"[(1, 0.9025408332799879)]"
10.1107/S1600536803019391,"[(7, 0.5431923316663289), (55, 0.41042514712611744)]"
10.1107/S1600536803019524,"[(52, 0.9567434995332826)]"
10.1107/S1600536803019846,"[(7, 0.9532173072201647)]"
10.1107/S1600576714004427,"[(45, 0.9631639694235415)]"
10.1107/S0021889893008568,"[(41, 0.9699387334028173)]"
10.1107/S1600536803019883,"[(55, 0.9478107159483106)]"
10.1107/S1600536803019792,"[(69, 0.5963067818112764), (66, 0.33832274905981286)]"
10.1107/S1600536808001888,"[(69, 0.9479476726529312)]"
10.1107/S1600536808002134,"[(3, 0.5565095045131147), (0, 0.36957580768343107)]"
10.1107/S1600536808002389,"[(54, 0.6034649407935867), (0, 0.3277067219119239)]"
10.1107/S1600536807067578,"[(12, 0.8593075377860985)]"
10.1107/S0021889878013618,"[(121, 0.9678745105955843)]"
10.1107/S0021889803012998,"[(44, 0.9669382394443977)]"
10.1107/S002188980301375X,"[(35, 0.9792984025453215)]"
10.1107/S1744309110011942,"[(31, 0.9688907254008099)]"
10.1107/S0021889878014909,"[(14, 0.9175968800458969)]"
10.1107/S1600577515022730,"[(91, 0.80104094573729)]"
10.1107/S0021889878013862,"[(32, 0.9769060621736187)]"
10.1107/S1600536808000457,"[(18, 0.9103378310261202)]"
10.1107/S160053680604935X,"[(7, 0.6061118919156259), (28, 0.29647206838796475)]"
10.1107/S1600536806050185,"[(142, 0.8145102885134177), (0, 0.11604194699159658)]"
10.1107/S1600536806050112,"[(28, 0.8760345189265554)]"
10.1107/S1600536806049853,"[(0, 0.48102715301169263), (17, 0.3101221678343097), (3, 0.17628965647727185)]"
10.1107/S1600536806050653,"[(4, 0.5494353615520786), (29, 0.36256246118126473)]"
10.1107/S0907444902012726,"[(84, 0.958552418014818)]"
10.1107/S056773947600185X,"[(20, 0.9099622331775116)]"
10.1107/S0567739476001885,"[(1, 0.6751360790779303)]"
10.1107/S1600536806044825,"[(66, 0.9008435971834099)]"
10.1107/S160053680605046X,"[(146, 0.9412935471372109)]"
10.1107/S1600536806049713,"[(3, 0.9507683423299484)]"
10.1107/S1600536806044709,"[(4, 0.9019144134737372)]"
10.1107/S1600536806044588,"[(8, 0.8593296091248948)]"
10.1107/S0907444902014269,"[(81, 0.9763535357507556)]"
10.1107/S090744490201449X,"[(50, 0.9570646491766718)]"
10.1107/S1600536806038608,"[(5, 0.48656792830307793), (0, 0.44477791989478044)]"
10.1107/S1600536806045697,"[(7, 0.94220961480138)]"
10.1107/S1600536806045144,"[(65, 0.9093765601412761)]"
10.1107/S1600536806045867,"[(0, 0.45634306206519887), (132, 0.44629538894779214)]"
10.1107/S1600536806046150,"[(0, 0.938983888247257)]"
10.1107/S0907444903025927,"[(125, 0.9744143184514644)]"
10.1107/S0021889803001821,"[(96, 0.9567075950585339)]"
10.1107/S090744490302794X,"[(9, 0.9658436904143529)]"
10.1107/S1600536806047064,"[(12, 0.9343435158713796)]"
10.1107/S1600536806047246,"[(0, 0.48890045046338526), (3, 0.4470401534402876)]"
10.1107/S1600536806047842,"[(135, 0.9585092698380001)]"
10.1107/S1600536806047568,"[(110, 0.8163979506215369), (1, 0.12974016955408763)]"
10.1107/S1600536806047039,"[(17, 0.859517326218416)]"
10.1107/S1600536806047726,"[(13, 0.9007892017976631)]"
10.1107/S160053680604863X,"[(29, 0.9177359915228726)]"
10.1107/S0567739476001629,"[(94, 0.9618093793278641)]"
10.1107/S1600536806049968,"[(1, 0.5578543685305906), (17, 0.38227248250814333)]"
10.1107/S1600536806048070,"[(23, 0.9295682802744989)]"
10.1107/S1600536806045247,"[(0, 0.6372392132056673), (69, 0.3024326119936049)]"
10.1107/S0907444902014348,"[(43, 0.9502860063383783)]"
10.1107/S0567739476001708,"[(58, 0.9751265855363828)]"
10.1107/S0021889868005583,"[(122, 0.909467262743317)]"
10.1107/S0907444904004998,"[(47, 0.8760349131949765)]"
10.1107/S0021889868005595,"[(3, 0.8593381209321619)]"
10.1107/S0108767302018196,"[(107, 0.9005980595644958)]"
10.1107/S0907444900003103,"[(48, 0.9447148268304744)]"
10.1107/S0907444900002249,"[(51, 0.9680564806858607)]"
10.1107/S2053230X1401557X,"[(45, 0.9768703994054806)]"
10.1107/S1600576715021019,"[(143, 0.9643435407248752)]"
10.1107/S0108270113001327,"[(78, 0.9708496814034966)]"
10.1107/S0021889811055087,"[(47, 0.7520698263899532)]"
10.1107/S0909049510039956,"[(72, 0.9290048348173922)]"
10.1107/S010876738609935X,"[(21, 0.9568929724562825)]"
10.1107/S0907444904000915,"[(2, 0.9812985128248001)]"
10.1107/S1600576715021378,"[(17, 0.9572444036443414)]"
10.1107/S1600576715022062,"[(75, 0.9790047949926461)]"
10.1107/S0907444904002008,"[(82, 0.9784303673768203)]"
10.1107/S0907444904002112,"[(47, 0.9769367280362754)]"
10.1107/S1600576715022797,"[(42, 0.9837406289004968)]"
