doc ID,topic pairs
10.1107/S1600536807051847,"[(3, 0.4879812609016751), (82, 0.41433391573731065)]"
10.1107/S1600536806005289,"[(23, 0.9419978202490024)]"
10.1107/S1600536807045680,"[(1, 0.458867126607286), (135, 0.34462664519990105), (44, 0.109031467683547)]"
10.1107/S1600536807051495,"[(17, 0.9243554804198717)]"
10.1107/S1600536807041530,"[(74, 0.5623339676027896), (3, 0.36222797491050557)]"
10.1107/S1600536807051707,"[(71, 0.8762347164177516)]"
10.1107/S010876739300354X,"[(114, 0.9287982348352666)]"
10.1107/S1600536807052026,"[(69, 0.9100915446312777)]"
10.1107/S1600536807049161,"[(1, 0.7215135079392572), (0, 0.19924903745707606)]"
10.1107/S1600536807049136,"[(76, 0.9632520734227967)]"
10.1107/S0108270100005515,"[(91, 0.9656967147822916)]"
10.1107/S0108270100005886,"[(106, 0.9416008510012122)]"
10.1107/S1600536811002017,"[(72, 0.5039702848812501), (7, 0.4446418803328006)]"
10.1107/S1600536811001942,"[(23, 0.9178302453572627)]"
10.1107/S0108270100007678,"[(19, 0.9101118382534611)]"
10.1107/S0108270100007915,"[(50, 0.5938883211166571), (132, 0.32403911465311336)]"
10.1107/S1600536811001334,"[(116, 0.9447931646091716)]"
10.1107/S0108270197012912,"[(1, 0.4420580211064053), (11, 0.29317577993066124), (0, 0.20632616307765345)]"
10.1107/S1600536811001243,"[(9, 0.8225436658037428), (1, 0.1266603002392108)]"
10.1107/S1600536811002339,"[(17, 0.8595173262599805)]"
10.1107/S1600536811002467,"[(2, 0.9416952777048484)]"
10.1107/S0108270197014406,"[(24, 0.8763183014819224)]"
10.1107/S0108270100004571,"[(1, 0.9610163333119951)]"
10.1107/S160053681005422X,"[(8, 0.6157855993767376), (7, 0.33816062517063106)]"
10.1107/S1600536810054371,"[(0, 0.4478962537658287), (54, 0.2690893681769396), (4, 0.24008471576948018)]"
10.1107/S1600536811000134,"[(0, 0.46702239264187456), (4, 0.4593534814926194)]"
10.1107/S0021889886090052,"[(38, 0.9290219098790242)]"
10.1107/S0108270100005199,"[(106, 0.8473134858685011), (0, 0.11679602076026639)]"
10.1107/S0108270100005898,"[(117, 0.9446834850560814)]"
10.1107/S1600536811000936,"[(0, 0.6768566722891479), (1, 0.23670246814321558)]"
10.1107/S0909049503023537,"[(37, 0.9774278643085506)]"
10.1107/S0907444903006267,"[(1, 0.9593919793103215)]"
10.1107/S0907444906046488,"[(6, 0.9752958717649953)]"
10.1107/S0907444903006826,"[(124, 0.9723195119221061)]"
10.1107/S0907444903006978,"[(13, 0.9731862707561258)]"
10.1107/S1600536811000055,"[(9, 0.9549757737280107)]"
10.1107/S0108767300009740,"[(28, 0.9173563459509564)]"
10.1107/S2052252514002838,"[(26, 0.981231141853613)]"
10.1107/S0907444905034207,"[(124, 0.947552759431697)]"
10.1107/S0108767300009119,"[(55, 0.9478107159483106)]"
10.1107/S0907444905039107,"[(34, 0.9732023355103068)]"
10.1107/S0108767300010205,"[(1, 0.9458560184888821)]"
10.1107/S090744490502264X,"[(89, 0.9698548078274921)]"
10.1107/S0108270111017586,"[(102, 0.9602305488922096)]"
10.1107/S0021889874008739,"[(146, 0.4229287250995573), (120, 0.3663421546108091), (142, 0.17769795620243556)]"
10.1107/S0907444902003918,"[(13, 0.972441444943796)]"
10.1107/S1600536810030837,"[(55, 0.9237233540782995)]"
10.1107/S1600536810030631,"[(3, 0.6790672231235035), (19, 0.2636737699992776)]"
10.1107/S1600536810034173,"[(25, 0.8766390516504525)]"
10.1107/S0108270106041783,"[(102, 0.9415155130767788)]"
10.1107/S1600536812016790,"[(131, 0.4979566298121593), (0, 0.2654327943503887), (1, 0.18078399084984695)]"
10.1107/S1600536810033921,"[(12, 0.9733825071487219)]"
10.1107/S1600536810030916,"[(82, 0.9632517370059638)]"
10.1107/S1600536810030989,"[(18, 0.9718199264070212)]"
10.1107/S1600536810032915,"[(55, 0.5659120821450933), (0, 0.39824146655764847)]"
10.1107/S0108270106042211,"[(1, 0.8486824858284562), (7, 0.08751563313309936)]"
10.1107/S1600536810030308,"[(1, 0.8917120369777642)]"
10.1107/S0021889804011288,"[(96, 0.43361546599164946), (72, 0.21857061905178451), (6, 0.1971362328542913), (121, 0.12436111650369841)]"
10.1107/S0108270106049018,"[(18, 0.9342477427524881)]"
10.1107/S1600536812017564,"[(25, 0.941947789011977)]"
10.1107/S1600536810031144,"[(142, 0.9667996361704695)]"
10.1107/S1600536810032320,"[(107, 0.48117426865083424), (0, 0.4747222226037601)]"
10.1107/S160053681003206X,"[(38, 0.9235620567927953)]"
10.1107/S1600536810032381,"[(0, 0.538009669885314), (95, 0.4198016669543692)]"
10.1107/S1600536810032472,"[(54, 0.9551209575353148)]"
10.1107/S1600536812014791,"[(1, 0.9114007575272618)]"
10.1107/S1600536812014043,"[(87, 0.9234998555527753)]"
10.1107/S0907444902003207,"[(109, 0.976298969775752)]"
10.1107/S1600536812014523,"[(61, 0.8266371966524345), (0, 0.12930514634378196)]"
10.1107/S1600536811054535,"[(1, 0.6252270455620158), (19, 0.32406972041629745)]"
10.1107/S0108270105008449,"[(69, 0.9646788211019766)]"
10.1107/S1600536811051105,"[(97, 0.8260899059355183), (7, 0.1474998751628135)]"
10.1107/S1600536811054006,"[(5, 0.5671310299703749), (18, 0.358162493422027)]"
10.1107/S1600536802013740,"[(0, 0.5744347712405863), (41, 0.3564024012057745)]"
10.1107/S0567739470000761,"[(10, 0.9739352600507216)]"
10.1107/S1600536810031065,"[(78, 0.9569082246834288)]"
10.1107/S0567739470000888,"[(142, 0.9335992723409386)]"
10.1107/S1600536811053402,"[(53, 0.9003881217932086)]"
10.1107/S0108767312044601,"[(64, 0.9603261652747954)]"
10.1107/S1600536811054079,"[(93, 0.9336485991605323)]"
