row,run,topic,terms,p
54,3,5,dihedral_angle,0.006020241882652044
55,3,5,crystallographic_datum,0.0059808711521327496
56,3,5,mean_plane,0.005916351452469826
57,3,5,asymmetric_unit,0.00583882350474596
58,3,5,centroid_centroid_distance,0.005804089363664389
59,3,5,aromatic_ring,0.005785431247204542
60,3,6,zigzag_chain,0.009654655121266842
61,3,6,n_hydrogen_bond,0.0084542790427804
62,3,6,n_hydrogen,0.00827379897236824
63,3,6,n_atom,0.00802029948681593
64,3,6,b_axis,0.007897073403000832
65,3,6,weak_c_h,0.007547332905232906
66,3,6,o_hydrogen_bond,0.006990599445998669
67,3,6,c_h,0.00687522254884243
68,3,6,n_h,0.006158075295388699
69,3,6,ring_system,0.006138273049145937
0,4,0,c_h,0.0012186812236905098
1,4,0,centrosymmetric_space_group,0.0012158907484263182
2,4,0,asymmetric_unit,0.0012158884201198816
3,4,0,space_group,0.001215887488797307
4,4,0,symmetry_center,0.0012158871395513415
5,4,0,asymmetric_unit_molecule,0.0012158849276602268
6,4,0,intermolecular_c_h,0.0012158830650150776
7,4,0,n_atom,0.0012151642004027963
8,4,0,weak_c_h,0.0012151639675721526
9,4,0,n_h,0.001215163734741509
10,4,1,c_h,0.0030213992577046156
11,4,1,asymmetric_unit_molecule,0.0024609218817204237
12,4,1,intermolecular_c_h,0.0024609200190752745
13,4,1,symmetry_center,0.0024609193205833435
14,4,1,asymmetric_unit,0.002460916293784976
15,4,1,space_group,0.0024609153624624014
16,4,1,centrosymmetric_space_group,0.0024609079118818045
17,4,1,n_atom,0.001203877734951675
18,4,1,nitro_group,0.0012038776185363531
19,4,1,weak_c_h,0.0012038769200444221
20,4,2,dimensional_network_hydrogen_bond,0.0029373897705227137
21,4,2,molecular_salt,0.002937384182587266
22,4,2,o_hydrogen_bond,0.002735887421295047
23,4,2,benzene_ring,0.0027358862571418285
24,4,2,dimensional_network,0.002735881134867668
25,4,2,dihedral_angle,0.002735880669206381
26,4,2,c_h,0.002541854279115796
27,4,2,o_contact,0.0021913915406912565
28,4,2,centroid_centroid_distance,0.0021913915406912565
