prob,topic,docID
0.950259907926981,112,10.1107/S160053681000228X
0.8771954314527322,7,10.1107/S1600536809055135
0.9622139789046689,7,10.1107/S1600536809055639
0.9661227764848008,7,10.1107/S1600536809055433
0.9336073218975408,121,10.1107/S1600536810002229
0.6967561590890972,1,10.1107/S160053681000262X
0.24612017668540614,100,10.1107/S160053681000262X
0.929649975915277,5,10.1107/S1600536810002886
0.9530107316502073,75,10.1107/S1600536810002308
0.9250309634777899,1,10.1107/S1600536810001789
0.9481628507698651,5,10.1107/S1600536810001157
0.39949045948202194,139,10.1107/S160053680905572X
0.5102050781085086,142,10.1107/S160053680905572X
0.6172763654760274,0,10.1107/S1600536810001121
0.35076715664329194,7,10.1107/S1600536810001121
0.9656337396874485,137,10.1107/S1600536809054269
0.942573071291536,0,10.1107/S1600536810001583
0.8915269124395683,0,10.1107/S0108270102020681
0.960499477242538,50,10.1107/S1600536810002564
0.9106875864073858,7,10.1107/S1600536810001881
0.7515985085263273,70,10.1107/S1600536810002266
0.9547410332277029,117,10.1107/S0108270102021819
0.8013581108986814,27,10.1107/S0108270100003371
0.9504269183247248,21,10.1107/S0108270199016339
0.23266076932336405,7,10.1107/S0108270100000615
0.26102924135846406,99,10.1107/S0108270100000615
0.36672643361255186,139,10.1107/S0108270100000615
0.93426419628581,23,10.1107/S0108270199016923
0.969058679104438,71,10.1107/S0907444904006559
0.9416859238637838,46,10.1107/S1600536804023086
0.9453227156018453,11,10.1107/S1600536804020690
0.9169123130854134,126,10.1107/S1600536804021270
0.8757865111702814,116,10.1107/S160053680402121X
0.9237035554373897,44,10.1107/S1600536804021385
0.47737690658901544,5,10.1107/S1600536804021786
0.457532295364878,21,10.1107/S1600536804021786
0.9341887932182964,29,10.1107/S1600536804022160
0.9632791985527253,21,10.1107/S0108270199015607
0.20757339989244786,20,10.1107/S1600536804023682
0.12165609266329601,69,10.1107/S1600536804023682
0.2774805190108123,77,10.1107/S1600536804023682
0.3285081453134105,140,10.1107/S1600536804023682
0.9112492919960103,0,10.1107/S1600536804024043
0.9634312530737936,54,10.1107/S0108270104017883
0.13380780637394643,8,10.1107/S0108270104018682
0.3441877315044867,77,10.1107/S0108270104018682
0.4829148326441792,139,10.1107/S0108270104018682
0.9415525629401238,70,10.1107/S0108270100001499
0.9481033128572182,23,10.1107/S0108270104016130
0.43994277107590307,2,10.1107/S0108767303012972
0.3652541450078422,20,10.1107/S0108767303012972
0.17404719948919048,72,10.1107/S0108767303012972
0.9812985078977655,2,10.1107/S0021889811013343
0.9745779068331931,21,10.1107/S0567739468000197
0.9528840370029602,24,10.1107/S0108270196008116
0.958632912906038,98,10.1107/S0108270196004040
0.2143512484423505,7,10.1107/S010827019600577X
0.720696127221355,44,10.1107/S010827019600577X
0.8035126903246934,7,10.1107/S160053680600448X
0.27956222932748076,11,10.1107/S0108270196007135
0.5984643311846972,55,10.1107/S0108270196007135
0.9571805549783774,12,10.1107/S1600536806005320
0.9011461847471356,22,10.1107/S1600536806005356
0.8574512028010153,125,10.1107/S1600536806001784
0.9294633522188053,50,10.1107/S1600536806003035
0.929086747644329,106,10.1107/S1600536807027043
0.9093657304321865,141,10.1107/S1600536807028164
0.9733810719679441,5,10.1107/S1600536807029583
0.9240855702464319,25,10.1107/S1600536807024671
0.9758092283641538,42,10.1107/S0907444905016896
0.5559657751758669,3,10.1107/S160053680702870X
0.36976584008500085,4,10.1107/S160053680702870X
0.9291115271930381,104,10.1107/S1600536807028711
0.9739062097851083,66,10.1107/S0907444905017336
0.10660436470420447,0,10.1107/S1600536807025329
0.22715046358659072,4,10.1107/S1600536807025329
0.6134274160344123,70,10.1107/S1600536807025329
0.9099622331775116,20,10.1107/S1600536807030619
0.8605346017080169,0,10.1107/S1600536807028619
0.942573071291536,0,10.1107/S1600536807029388
0.9530053530096956,25,10.1107/S1600536807029522
0.4653284716507538,0,10.1107/S1600536807026657
0.4944004080666547,51,10.1107/S1600536807026657
0.9007561380764251,104,10.1107/S160053680703022X
0.9724691435477468,78,10.1107/S2053273314000631
0.8779677764945149,0,10.1107/S1600536807027912
0.8342084197069097,26,10.1107/S0108270100005552
0.9656967147822916,91,10.1107/S1600536807028735
0.4313774903703152,130,10.1107/S1600536807018508
0.4264145979646839,139,10.1107/S1600536807018508
0.877195431452933,7,10.1107/S0108270100005606
0.9709738945059893,25,10.1107/S1600536807029030
0.9531025125953657,12,10.1107/S1600536807027997
0.22961930880306003,0,10.1107/S1600536807029297
0.3848568369136927,7,10.1107/S1600536807029297
0.34207356443751985,119,10.1107/S1600536807029297
0.23605460245545268,40,10.1107/S0907444905014356
0.740432421932916,108,10.1107/S0907444905014356
0.37014648906502085,114,10.1107/S056773947700237X
0.5713721924565746,132,10.1107/S056773947700237X
0.9746017185132376,9,10.1107/S0907444900009197
0.9478362718999859,78,10.1107/S1600536807051252
0.41179346306585696,1,10.1107/S160053680705115X
0.5135409014628928,74,10.1107/S160053680705115X
0.34175929270994415,0,10.1107/S1600536807049616
0.6101961602178103,3,10.1107/S1600536807049616
0.17186841932749705,1,10.1107/S1600536807051549
0.2272723893918969,7,10.1107/S1600536807051549
0.5613227711261576,64,10.1107/S1600536807051549
0.9452064522937399,18,10.1107/S1600536807050106
0.4128817913635216,0,10.1107/S1600536807052750
0.5359923715261975,48,10.1107/S1600536807052750
0.970868820056689,10,10.1107/S0108270100003292
0.14361551953521365,0,10.1107/S1600536807050787
0.19259707133654652,82,10.1107/S1600536807050787
0.6129781843159176,120,10.1107/S1600536807050787
0.2474050770059415,14,10.1107/S1600536807052920
0.7057274667061524,90,10.1107/S1600536807052920
0.4490899528058938,0,10.1107/S1600536807050416
0.2062013222264028,1,10.1107/S1600536807050416
0.27747232687366075,10,10.1107/S1600536807050416
0.9017563451623464,7,10.1107/S1600536807051732
0.7122542826856532,0,10.1107/S1600536807051719
0.19151623289302538,23,10.1107/S1600536807051719
0.48004913107470604,3,10.1107/S1600536807051847
0.4230684416931435,11,10.1107/S1600536807051847
0.9419978202521849,23,10.1107/S1600536806005289
0.5802776826685531,0,10.1107/S1600536807045680
0.3317122623576499,44,10.1107/S1600536807045680
0.9243554833707582,17,10.1107/S1600536807051495
0.42584598034266746,0,10.1107/S1600536807041530
0.5002393318538783,3,10.1107/S1600536807041530
0.6144030805705581,71,10.1107/S1600536807051707
0.2624822269330004,91,10.1107/S1600536807051707
0.9287982348352666,114,10.1107/S010876739300354X
0.9100915446574759,69,10.1107/S1600536807052026
0.20032850503513586,0,10.1107/S1600536807049161
0.7204340403611973,1,10.1107/S1600536807049161
0.9632520734227967,76,10.1107/S1600536807049136
0.9656967147822915,91,10.1107/S0108270100005515
0.9416008510012122,106,10.1107/S0108270100005886
0.4445487202230259,7,10.1107/S1600536811002017
0.5040634449910248,72,10.1107/S1600536811002017
0.9178302453572613,23,10.1107/S1600536811001942
0.9101108265096626,19,10.1107/S0108270100007678
0.3199737202570161,8,10.1107/S0108270100007915
0.21733676194468698,11,10.1107/S0108270100007915
0.38298977413306623,50,10.1107/S0108270100007915
0.3661311666671677,0,10.1107/S1600536811001334
0.18342995568117085,18,10.1107/S1600536811001334
0.39734159474815267,27,10.1107/S1600536811001334
0.589356915956339,1,10.1107/S0108270197012912
0.3507191599111237,11,10.1107/S0108270197012912
0.17959414806892626,0,10.1107/S1600536811001243
0.7695221274033028,9,10.1107/S1600536811001243
0.3993280545459294,17,10.1107/S1600536811002339
0.46103659203034386,95,10.1107/S1600536811002339
0.9416953635126099,2,10.1107/S1600536811002467
0.8753778793053827,141,10.1107/S0108270197014406
0.9610163332921416,1,10.1107/S0108270100004571
0.33798744488439764,7,10.1107/S160053681005422X
0.6159587795283507,8,10.1107/S160053681005422X
0.5454127458426556,0,10.1107/S1600536810054371
0.410415352942529,127,10.1107/S1600536810054371
0.6722347635449564,0,10.1107/S1600536811000134
0.2536233120557699,16,10.1107/S1600536811000134
0.9290219063699879,38,10.1107/S0021889886090052
0.11580636372462698,0,10.1107/S0108270100005199
0.8483031429041406,106,10.1107/S0108270100005199
0.9446834850560814,117,10.1107/S0108270100005898
0.6761448165476064,0,10.1107/S1600536811000936
0.23741432388475703,1,10.1107/S1600536811000936
0.977427870503767,37,10.1107/S0909049503023537
0.9593920138666615,1,10.1107/S0907444903006267
0.975295871764995,6,10.1107/S0907444906046488
0.9723195119222845,124,10.1107/S0907444903006826
0.9731862707522486,13,10.1107/S0907444903006978
0.9549757737219631,9,10.1107/S1600536811000055
0.9173563459510364,28,10.1107/S0108767300009740
0.9812311418536128,26,10.1107/S2052252514002838
0.947552759431697,124,10.1107/S0907444905034207
0.9478107159483106,55,10.1107/S0108767300009119
0.9732023355103068,34,10.1107/S0907444905039107
0.9458560184888821,1,10.1107/S0108767300010205
0.9698548078274921,89,10.1107/S090744490502264X
0.9602305488922096,102,10.1107/S0108270111017586
0.3658460195595882,120,10.1107/S0021889874008739
0.17837708818132156,142,10.1107/S0021889874008739
0.4227457281718921,146,10.1107/S0021889874008739
0.972441444943796,13,10.1107/S0907444902003918
0.9237233540782884,55,10.1107/S1600536810030837
0.6560536014348799,3,10.1107/S1600536810030631
0.28700452388387493,17,10.1107/S1600536810030631
0.8766390516504525,25,10.1107/S1600536810034173
0.9415155115084363,102,10.1107/S0108270106041783
0.18795356473784608,0,10.1107/S1600536812016790
0.259941415302543,1,10.1107/S1600536812016790
0.4962784349720059,131,10.1107/S1600536812016790
0.9733825030894686,12,10.1107/S1600536810033921
0.9632517157138606,82,10.1107/S1600536810030916
0.9718204610378935,18,10.1107/S1600536810030989
0.3989625628757505,0,10.1107/S1600536810032915
0.5651909794133075,55,10.1107/S1600536810032915
0.5590725182800315,1,10.1107/S0108270106042211
0.21536873675142396,3,10.1107/S0108270106042211
0.16266434900043647,11,10.1107/S0108270106042211
0.8917120369777644,1,10.1107/S1600536810030308
0.22374193327769054,72,10.1107/S0021889804011288
0.39632502225735544,96,10.1107/S0021889804011288
0.14367781787798845,118,10.1107/S0021889804011288
0.20969561032553002,121,10.1107/S0021889804011288
0.9342477427524882,18,10.1107/S0108270106049018
0.941947789011977,25,10.1107/S1600536812017564
0.9667996361704695,142,10.1107/S1600536810031144
0.47965140839354437,0,10.1107/S1600536810032320
0.4762450828610499,107,10.1107/S1600536810032320
0.9235620567927953,38,10.1107/S160053681003206X
0.5388054925487704,0,10.1107/S1600536810032381
0.41900639676297613,95,10.1107/S1600536810032381
0.9551209575413107,54,10.1107/S1600536810032472
0.9114007575272618,1,10.1107/S1600536812014791
0.9234998555511904,87,10.1107/S1600536812014043
0.9762989705355513,109,10.1107/S0907444902003207
0.12737919102659825,0,10.1107/S1600536812014523
0.828563151969618,61,10.1107/S1600536812014523
0.5094059719347657,0,10.1107/S1600536811054535
0.44054931989449725,1,10.1107/S1600536811054535
0.9646788204371474,69,10.1107/S0108270105008449
0.14757409707006558,7,10.1107/S1600536811051105
0.8260156840282663,97,10.1107/S1600536811051105
0.5692908043336924,5,10.1107/S1600536811054006
0.3560027190587095,18,10.1107/S1600536811054006
0.9302673008540081,0,10.1107/S1600536802013740
0.9739352600507216,10,10.1107/S0567739470000761
0.9569082246719212,78,10.1107/S1600536810031065
0.9335992723409386,142,10.1107/S0567739470000888
0.9003883713771129,53,10.1107/S1600536811053402
0.9603261652747954,64,10.1107/S0108767312044601
0.5170783558939334,11,10.1107/S1600536811054079
0.41804270226018375,69,10.1107/S1600536811054079
0.24013302867293312,1,10.1107/S1600536812020089
0.7240238096591257,37,10.1107/S1600536812020089
0.9711048074006909,7,10.1107/S1600536812020259
0.9483760079890685,4,10.1107/S1600536812022702
0.6507349504239984,3,10.1107/S1600536812023495
0.2916543063313208,26,10.1107/S1600536812023495
0.8012250725228973,1,10.1107/S1600536811019209
0.1569977306982855,18,10.1107/S1600536811019209
0.9535908628256828,1,10.1107/S1600536812023732
0.9419544332120654,75,10.1107/S1600536812024178
0.9646279840122207,20,10.1107/S1600536812021964
0.35702611846819243,0,10.1107/S1600536812018806
0.6046261080749906,7,10.1107/S1600536812018806
0.923568771854254,70,10.1107/S1600536812021769
0.38721157083124846,43,10.1107/S1600536812018491
0.5309868618940436,54,10.1107/S1600536812018491
0.4848304232420658,68,10.1107/S0907444909023051
0.3742661577146168,81,10.1107/S0907444909023051
0.25959566980929405,0,10.1107/S1600536812022258
0.7031523793289862,36,10.1107/S1600536812022258
0.12552778928170671,17,10.1107/S160053681201358X
0.8337171822256058,84,10.1107/S160053681201358X
0.9752069037220762,28,10.1107/S0907444911050712
0.9102193428048487,16,10.1107/S1600536812015450
0.9737549955270483,99,10.1107/S1600576714024005
0.9576264492521678,1,10.1107/S1600536813002985
0.9006827565165062,68,10.1107/S1600536813003711
0.1485205804252291,3,10.1107/S160053681300425X
0.2805005273885672,7,10.1107/S160053681300425X
0.26960742361522416,24,10.1107/S160053681300425X
0.26971912553586486,40,10.1107/S160053681300425X
0.9338109301435392,30,10.1107/S1600536812016959
0.9480640484555928,75,10.1107/S1600536813002900
0.9481740665196974,8,10.1107/S1600536812016194
0.9095263791644804,77,10.1107/S1600536812017345
0.973753743905508,132,10.1107/S0108768196003813
0.39060883623885034,1,10.1107/S1600536812014110
0.5495180147998834,17,10.1107/S1600536812014110
