syn id,word
200010141,act
200013302,act
201060866,act
201670298,act
201672516,act
202296591,act
202346017,act
202450309,act
202664521,act
200730627,appeal
200991862,appeal
201755473,appeal
202423014,appeal
202423216,appeal
200409939,appear
200412906,appear
200413784,appear
201672129,appear
202071636,appear
202072871,appear
202520938,appear
202372475,be
202526084,be
202526983,be
202538502,be
202542637,be
202576058,be
202584716,be
202616526,be
202669122,be
200144029,become
202545350,become
202548361,become
202644165,become
200183010,feed
201142446,feed
201143746,feed
201144087,feed
201145047,feed
201145902,feed
201167203,feed
202008364,feed
202480198,feed
200103107,feel
200667221,feel
200691723,feel
201173058,feel
201720480,feel
202045240,feel
202049449,feel
202066181,feel
202650181,feel
200116175,get
200144029,get
200508949,get
201118387,get
201392422,get
201947900,get
202047097,get
202147191,get
202287972,get
200091651,grow
200121007,grow
200223119,grow
200224068,grow
200237321,grow
200241829,grow
200528748,grow
201690645,grow
202546120,grow
200747097,indicate
200891089,indicate
200893603,indicate
200897547,indicate
200897764,indicate
200032382,look
200696172,look
200898887,look
202068725,look
202071636,look
202091681,look
202474278,look
202579316,look
202612137,look
200642734,prove
200643558,prove
200643699,prove
200982423,prove
201695829,prove
201917708,prove
201925199,prove
202456388,prove
202555360,prove
200113506,remain
202559123,remain
202647172,remain
202650734,remain
202071636,seem
202072871,seem
202135322,seem
202665354,seem
202062276,smell
202062936,smell
202063352,smell
200478339,sound
200920586,sound
202073090,sound
202073211,sound
202113837,sound
202116920,sound
202117931,sound
200113506,stay
200447876,stay
201803666,stay
201951323,stay
202484342,stay
202541187,stay
202558733,stay
202647172,stay
202650734,stay
200577421,taste
201158934,taste
202128865,taste
202130311,taste
202131508,taste
202131717,taste
200121007,turn
200140715,turn
201851475,turn
201854029,turn
201894798,turn
202030130,turn
202030694,turn
202036615,turn
202548361,turn
200675190,will
200685673,will
200721857,will
202164652,will
200593413,abandon
200594081,abandon
202017679,abandon
202163347,abandon
202163637,abandon
201747514,abase
201740167,abash
200236959,abate
200237189,abate
200235649,abbreviate
200235800,abbreviate
202308091,abdicate
201408129,abduct
201429431,abduct
202473944,abet
201723090,abhor
200645847,abide
202558733,abide
200772899,abjure
200171112,ablate
200266493,ablate
200733223,abnegate
201081403,abnegate
202149356,abnegate
202354201,abolish
201723090,abominate
200057995,abort
200342634,abort
